Framework,Backend,UniqueTerms,Chars,Time_s
LDN_CF_journal,PyMuPDF,25,57481,0.03
LDN_CF_journal,pdfplumber,18,52946,2.33
LDN_CF_journal,pypdf,25,57677,0.36
Lehmann-FPSH,PyMuPDF,31,70696,0.04
Lehmann-FPSH,pdfplumber,31,70009,1.8
Lehmann-FPSH,pypdf,31,70692,0.21
MEA,PyMuPDF,92,567786,0.88
MEA,pdfplumber,94,563363,65.28
MEA,pypdf,91,575283,19.7
MESMIS,PyMuPDF,26,47224,0.02
MESMIS,pdfplumber,19,44873,0.82
MESMIS,pypdf,26,47285,0.23
MN-SHAF,PyMuPDF,25,49983,0.06
MN-SHAF,pdfplumber,25,49174,3.95
MN-SHAF,pypdf,25,49825,1.2
Montg-SHOHPH,PyMuPDF,19,21892,0.03
Montg-SHOHPH,pdfplumber,19,20920,1.77
Montg-SHOHPH,pypdf,19,22043,0.59
Nunes-SHAPE,PyMuPDF,20,76314,0.05
Nunes-SHAPE,pdfplumber,11,70754,1.61
Nunes-SHAPE,pypdf,20,76296,0.34
Permaculture,PyMuPDF,82,963684,0.43
Permaculture,pdfplumber,81,953700,21.14
Permaculture,pypdf,82,963761,6.2
Ploeg-PEAE,PyMuPDF,28,82486,0.04
Ploeg-PEAE,pdfplumber,21,77031,1.31
Ploeg-PEAE,pypdf,28,82800,1.47
Posthumus-FSDST,PyMuPDF,23,100703,0.07
Posthumus-FSDST,pdfplumber,23,98256,3.14
Posthumus-FSDST,pypdf,23,100408,0.92
Ros-OSHAFSSM,PyMuPDF,24,58035,0.04
Ros-OSHAFSSM,pdfplumber,23,55688,1.3
Ros-OSHAFSSM,pypdf,24,58107,0.35
SAI-RAAG,PyMuPDF,7,16385,0.03
SAI-RAAG,pdfplumber,7,16331,0.85
SAI-RAAG,pypdf,7,16351,0.33
SI4AF,PyMuPDF,46,85810,0.06
SI4AF,pdfplumber,46,84128,2.32
SI4AF,pypdf,46,85918,0.55
SKI-LStoolkit,PyMuPDF,24,90736,0.07
SKI-LStoolkit,pdfplumber,24,88632,2.4
SKI-LStoolkit,pypdf,24,90588,0.61
Steve-AESSHF,PyMuPDF,26,37592,0.03
Steve-AESSHF,pdfplumber,26,36273,1.17
Steve-AESSHF,pypdf,26,37287,0.37
Stockdale-CFMSH,PyMuPDF,34,96828,0.05
Stockdale-CFMSH,pdfplumber,34,95451,2.18
Stockdale-CFMSH,pypdf,34,96693,0.47
TEEB,PyMuPDF,50,132832,0.11
TEEB,pdfplumber,49,129045,7.14
TEEB,pypdf,50,135012,2.36
Tittonel-sysageco,PyMuPDF,100,1069139,0.74
Tittonel-sysageco,pdfplumber,102,1054713,35.11
Tittonel-sysageco,pypdf,101,1067997,9.45
UNCCD-ILM,PyMuPDF,34,63433,0.03
UNCCD-ILM,pdfplumber,34,62146,1.4
UNCCD-ILM,pypdf,34,63342,0.2
UNCCD-LDN,PyMuPDF,56,305709,0.23
UNCCD-LDN,pdfplumber,56,301585,7.69
UNCCD-LDN,pypdf,56,307522,1.32
USDA-CFSHAG,PyMuPDF,21,49391,0.14
USDA-CFSHAG,pdfplumber,21,48565,1.72
USDA-CFSHAG,pypdf,21,49508,0.39
WRI-EHWB,PyMuPDF,86,659050,0.37
WRI-EHWB,pdfplumber,86,670665,21.68
WRI-EHWB,pypdf,86,670896,3.46
Wezel-TAPE,PyMuPDF,39,68223,0.06
Wezel-TAPE,pdfplumber,24,63637,2.38
Wezel-TAPE,pypdf,39,68364,0.77
cgiar-ll,PyMuPDF,18,71239,0.05
cgiar-ll,pdfplumber,18,69751,2.12
cgiar-ll,pypdf,18,71278,0.7
govind-DUS,PyMuPDF,33,42714,0.02
govind-DUS,pdfplumber,33,42034,0.86
govind-DUS,pypdf,32,42750,0.15
nestle-RAF,PyMuPDF,55,82839,0.08
nestle-RAF,pdfplumber,57,81075,2.1
nestle-RAF,pypdf,55,82759,0.57
sayer-LA,PyMuPDF,24,57504,0.06
sayer-LA,pdfplumber,17,54067,1.09
sayer-LA,pypdf,24,57893,0.36
