Framework,Backend,Chars,UniqueTerms,TotalMatches,PrinciplesCovered,Time_s,Error
FAO-VGSSM,PyMuPDF,48560,398,1766,14,0.1,
FAO-VGSSM,pdfplumber,47767,398,1766,14,3.42,
FAO-VGSSM,pypdf,48268,389,1735,14,0.87,
FAO-VGSSM,Docling,48483,403,1708,14,38.73,
FAO-agroecology,PyMuPDF,35167,260,984,14,0.13,
FAO-agroecology,pdfplumber,34373,260,918,14,3.72,
FAO-agroecology,pypdf,34966,260,971,14,1.93,
FAO-agroecology,Docling,32480,270,914,14,17.8,
FSAT,PyMuPDF,118505,300,2304,14,0.3,
FSAT,pdfplumber,113260,302,2303,14,6.53,
FSAT,pypdf,115471,300,2296,14,1.26,
FSAT,Docling,112790,277,1869,14,178.73,
FtF_GSIAF,PyMuPDF,118870,401,2476,14,0.13,
FtF_GSIAF,pdfplumber,115193,404,2482,14,6.93,
FtF_GSIAF,pypdf,117795,261,2067,14,2.54,
FtF_GSIAF,Docling,138271,406,2452,14,111.74,
Gwimire-SHAM4WLE,PyMuPDF,79249,310,2514,13,0.1,
Gwimire-SHAM4WLE,pdfplumber,80498,296,2253,13,1.64,
Gwimire-SHAM4WLE,pypdf,81482,305,2538,13,0.34,
Gwimire-SHAM4WLE,Docling,84508,315,2528,13,72.73,
IDS-SRLF,PyMuPDF,52721,171,721,13,0.05,
IDS-SRLF,pdfplumber,52037,171,722,13,1.06,
IDS-SRLF,pypdf,52040,171,725,13,0.15,
IDS-SRLF,Docling,54240,163,702,13,46.28,
IFA-G4RNutStewF,PyMuPDF,30431,200,725,13,0.07,
IFA-G4RNutStewF,pdfplumber,29389,201,726,13,1.01,
IFA-G4RNutStewF,pypdf,30277,196,714,13,0.3,
IFA-G4RNutStewF,Docling,32825,187,678,13,44.49,
IFDC-FSHA,PyMuPDF,247329,604,6867,14,0.21,
IFDC-FSHA,pdfplumber,242170,604,6867,14,9.23,
IFDC-FSHA,pypdf,245860,606,6870,14,2.62,
IFDC-FSHA,Docling,221643,574,5746,14,505.22,
IFPRI-GR,PyMuPDF,70966,249,1267,14,0.14,
IFPRI-GR,pdfplumber,70718,249,1269,14,3.97,
IFPRI-GR,pypdf,70841,248,1268,14,2.7,
IFPRI-GR,Docling,70606,255,1271,14,1147.81,
ILM-Practical,PyMuPDF,65448,208,901,13,0.11,
ILM-Practical,pdfplumber,64054,208,851,13,2.85,
ILM-Practical,pypdf,65109,208,897,13,0.6,
ILM-Practical,Docling,81073,201,842,13,294.81,
ILM_Tool_Guide,PyMuPDF,75539,190,1076,13,0.14,
ILM_Tool_Guide,pdfplumber,72938,179,844,13,1.83,
ILM_Tool_Guide,pypdf,74414,189,1036,13,0.44,
ILM_Tool_Guide,Docling,93247,183,927,13,109.13,
IPES-FOOD,PyMuPDF,71325,258,1203,13,0.14,
IPES-FOOD,pdfplumber,69825,258,1203,13,3.64,
IPES-FOOD,pypdf,71330,256,1194,13,0.6,
IPES-FOOD,Docling,75519,274,1270,13,55.27,
Jian-DGSHA,PyMuPDF,31600,166,614,13,0.11,
Jian-DGSHA,pdfplumber,31216,166,614,13,2.52,
Jian-DGSHA,pypdf,31582,168,621,13,1.56,
Jian-DGSHA,Docling,32292,167,630,13,32.43,
LA4AA,PyMuPDF,62609,208,1206,13,0.07,
LA4AA,pdfplumber,61779,208,1199,13,2.16,
LA4AA,pypdf,62505,208,1201,13,0.25,
LA4AA,Docling,64215,226,1253,13,68.49,
LDN_CF_journal,PyMuPDF,57745,212,1237,13,0.06,
LDN_CF_journal,pdfplumber,57152,204,1139,13,1.74,
LDN_CF_journal,pypdf,57678,208,1224,13,0.21,
LDN_CF_journal,Docling,56978,212,1264,13,206.21,
Lehmann-FPSH,PyMuPDF,70872,276,1870,13,0.07,
Lehmann-FPSH,pdfplumber,70014,273,1820,13,1.83,
Lehmann-FPSH,pypdf,70693,276,1871,13,0.21,
Lehmann-FPSH,Docling,84462,300,2016,13,127.96,
MEA,PyMuPDF,572405,969,11939,14,1.06,
MEA,pdfplumber,562919,970,12056,14,76.91,
MEA,pypdf,575282,919,11539,14,36.72,
MEA,Docling,357712,743,6436,14,171.04,
MESMIS,PyMuPDF,47461,201,652,13,0.05,
MESMIS,pdfplumber,47092,196,628,13,0.97,
MESMIS,pypdf,47286,192,632,13,0.13,
MESMIS,Docling,52146,207,695,13,84.96,
MN-SHAF,PyMuPDF,50297,208,1160,13,0.11,
MN-SHAF,pdfplumber,49174,208,1160,13,5.27,
MN-SHAF,pypdf,49826,208,1160,13,2.06,
MN-SHAF,Docling,51657,213,1164,13,40.23,
Montg-SHOHPH,PyMuPDF,21925,167,547,13,0.08,
Montg-SHOHPH,pdfplumber,20960,167,544,13,2.3,
Montg-SHOHPH,pypdf,22044,167,547,13,1.46,
Montg-SHOHPH,Docling,20972,167,546,13,6.59,
Nunes-SHAPE,PyMuPDF,76638,212,1214,13,0.09,
Nunes-SHAPE,pdfplumber,75107,197,1069,13,2.58,
Nunes-SHAPE,pypdf,76297,214,1221,13,0.46,
Nunes-SHAPE,Docling,83720,212,1291,13,170.78,
Permaculture,PyMuPDF,966655,1079,14141,14,0.6,
Permaculture,pdfplumber,953724,1079,14129,14,29.0,
Permaculture,pypdf,963751,1078,14127,14,10.62,
Permaculture,Docling,595401,803,7855,14,8395.81,
Ploeg-PEAE,PyMuPDF,82766,233,1056,13,0.09,
Ploeg-PEAE,pdfplumber,82413,230,1005,13,1.85,
Ploeg-PEAE,pypdf,82801,222,1034,13,0.38,
Ploeg-PEAE,Docling,83158,223,1042,13,70.39,
Posthumus-FSDST,PyMuPDF,101719,217,1343,14,0.13,
Posthumus-FSDST,pdfplumber,97848,219,1343,14,5.38,
Posthumus-FSDST,pypdf,100409,215,1342,14,0.9,
Posthumus-FSDST,Docling,98712,217,1200,14,66.34,
Ros-OSHAFSSM,PyMuPDF,58114,202,1260,13,0.08,
Ros-OSHAFSSM,pdfplumber,58050,203,1264,13,2.48,
Ros-OSHAFSSM,pypdf,58108,202,1263,13,0.3,
Ros-OSHAFSSM,Docling,57912,210,1309,13,78.24,
SAI-RAAG,PyMuPDF,16436,71,258,13,0.06,
SAI-RAAG,pdfplumber,16330,71,259,13,1.15,
SAI-RAAG,pypdf,16351,70,251,13,0.32,
SAI-RAAG,Docling,21494,121,383,13,145.53,
SI4AF,PyMuPDF,86141,341,2454,14,0.09,
SI4AF,pdfplumber,84129,342,2455,14,3.76,
SI4AF,pypdf,85919,340,2431,14,0.67,
SI4AF,Docling,105327,332,2555,14,37.12,
SKI-LStoolkit,PyMuPDF,90997,183,1009,13,0.15,
SKI-LStoolkit,pdfplumber,88634,183,1009,13,3.84,
SKI-LStoolkit,pypdf,90589,183,1009,13,0.69,
SKI-LStoolkit,Docling,90111,188,1049,13,161.97,
Steve-AESSHF,PyMuPDF,37846,210,971,13,0.07,
Steve-AESSHF,pdfplumber,36305,211,972,13,1.39,
Steve-AESSHF,pypdf,37288,210,971,13,0.33,
Steve-AESSHF,Docling,50038,215,995,13,40.62,
Stockdale-CFMSH,PyMuPDF,97017,301,1900,13,0.08,
Stockdale-CFMSH,pdfplumber,95467,289,1804,13,3.63,
Stockdale-CFMSH,pypdf,96694,300,1879,13,0.45,
Stockdale-CFMSH,Docling,110036,290,1810,13,31.98,
TEEB,PyMuPDF,133470,464,2567,13,0.2,
TEEB,pdfplumber,129087,436,2355,13,10.87,
TEEB,pypdf,135013,466,2569,13,4.51,
TEEB,Docling,163984,477,2714,13,121.06,
Tittonel-sysageco,PyMuPDF,1075311,1138,17070,14,1.17,
Tittonel-sysageco,pdfplumber,1060337,1124,16371,14,47.04,
Tittonel-sysageco,pypdf,1067998,1106,16528,14,15.57,
Tittonel-sysageco,Docling,604767,664,7210,14,526.12,
UNCCD-ILM,PyMuPDF,63623,299,1352,13,0.07,
UNCCD-ILM,pdfplumber,62146,299,1351,13,2.83,
UNCCD-ILM,pypdf,63343,299,1350,13,0.29,
UNCCD-ILM,Docling,66076,311,1328,13,25.97,
UNCCD-LDN,PyMuPDF,308171,488,6179,13,0.37,
